"","token","tag","pos","category","funct","case","pers","num","gender","tense","mode"
"8013",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8014","die","PRO.Rel.Subst.-.Nom.Sg.Fem","PRO","Rel","Subst","Nom",NA,"Sg","Fem",NA,NA
"8015","mich","PRO.Pers.Subst.1.Acc.Sg.*","PRO","Pers","Subst","Acc","1","Sg",NA,NA,NA
"8016","so","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8017","ernst","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8018",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8019","die","PRO.Rel.Subst.-.Nom.Sg.Fem","PRO","Rel","Subst","Nom",NA,"Sg","Fem",NA,NA
"8020","mich","PRO.Pers.Subst.1.Acc.Sg.*","PRO","Pers","Subst","Acc","1","Sg",NA,NA,NA
"8021",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8022","wie","PROADV.Inter","PROADV","Inter",NA,NA,NA,NA,NA,NA,NA
"8023","Sie","PRO.Pers.Subst.3.Nom.Pl.*","PRO","Pers","Subst","Nom","3","Pl",NA,NA,NA
"8024","es","PRO.Pers.Subst.3.Acc.Sg.Neut","PRO","Pers","Subst","Acc","3","Sg","Neut",NA,NA
"8025","nennen","VFIN.Full.3.Pl.Pres.Ind","VFIN","Full",NA,NA,"3","Pl",NA,"Pres","Ind"
"8026",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8027","mein","PRO.Poss.Attr.-.Nom.Sg.Neut","PRO","Poss","Attr","Nom",NA,"Sg","Neut",NA,NA
"8028","Fräulein","N.Reg.Nom.Sg.Neut","N","Reg",NA,"Nom",NA,"Sg","Neut",NA,NA
"8029",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8030","so","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8031","feierlich","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8032","macht","VFIN.Full.3.Sg.Pres.Ind","VFIN","Full",NA,NA,"3","Sg",NA,"Pres","Ind"
"8033",".","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8034","–","N.Reg.Nom.Sg.Masc","N","Reg",NA,"Nom",NA,"Sg","Masc",NA,NA
"8035","Ha","N.Name.Nom.Sg.Masc","N","Name",NA,"Nom",NA,"Sg","Masc",NA,NA
"8036","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8037","auch","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8038","Sie","PRO.Pers.Subst.3.Nom.Pl.*","PRO","Pers","Subst","Nom","3","Pl",NA,NA,NA
"8039","hier","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8040",",","SYM.Pun.Comma","SYM","Pun","Comma",NA,NA,NA,NA,NA,NA
"8041","meine","PRO.Poss.Attr.-.Nom.Sg.Fem","PRO","Poss","Attr","Nom",NA,"Sg","Fem",NA,NA
"8042","gnädige","ADJA.Pos.Nom.Sg.Fem","ADJA","Pos",NA,"Nom",NA,"Sg","Fem",NA,NA
"8043","Frau","N.Reg.Nom.Sg.Fem","N","Reg",NA,"Nom",NA,"Sg","Fem",NA,NA
"8044","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8045","–","CARD","CARD",NA,NA,NA,NA,NA,NA,NA,NA
"8046","nun","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8047","bald","ADV","ADV",NA,NA,NA,NA,NA,NA,NA,NA
"8048","mir","PRO.Pers.Subst.1.Dat.Sg.*","PRO","Pers","Subst","Dat","1","Sg",NA,NA,NA
"8049","mit","APPR.Dat","APPR",NA,NA,"Dat",NA,NA,NA,NA,NA
"8050","einem","ART.Indef.Dat.Sg.Masc","ART","Indef",NA,"Dat",NA,"Sg","Masc",NA,NA
"8051","innigern","ADJD.Pos","ADJD","Pos",NA,NA,NA,NA,NA,NA,NA
"8052","Namen","N.Reg.Dat.Sg.Masc","N","Reg",NA,"Dat",NA,"Sg","Masc",NA,NA
"8053","zu","PART.Zu","PART","Zu",NA,NA,NA,NA,NA,NA,NA
"8054","verehrende","ADJA.Pos.Nom.Sg.Masc","ADJA","Pos",NA,"Nom",NA,"Sg","Masc",NA,NA
"8055","!","SYM.Pun.Sent","SYM","Pun","Sent",NA,NA,NA,NA,NA,NA
"8056","Der","ART.Def.Nom.Sg.Masc","ART","Def",NA,"Nom",NA,"Sg","Masc",NA,NA
