type,pos,lemma,freq,range
ihrem,,,4,1
ihren,,,6,1
ihrer,,,4,1
ihres,,,1,1
im,,,5,1
immer,,,7,1
in,,,25,1
irthume,,,1,1
ist,,,46,1
itzt,,,7,1
ja,,,26,1
je,,,1,1
jederman,,,1,1
jedes,,,3,1
jemals,,,1,1
jemand,,,1,1
jung,,,1,1
jüngling,,,1,1
kann,,,8,1
kapitel,,,1,1
kein,,,3,1
keine,,,3,1
keinen,,,6,1
keiner,,,1,1
keines,,,1,1
kennen,,,1,1
kennet,,,1,1
kennst,,,1,1
klemm,,,1,1
klugheit,,,1,1
knecht,,,1,1
kommen,,,10,1
kopf,,,4,1
kopfweh,,,1,1
krank,,,1,1
kreutzer,,,2,1
kriegen,,,2,1
kroch,,,1,1
kräfte,,,1,1
kränkliche,,,1,1
kuchelmensch,,,1,1
kurz,,,2,1
kurze,,,1,1
kömmst,,,1,1
kömmt,,,7,1
könen,,,1,1
können,,,5,1
könnte,,,2,1
könnten,,,1,1
küssen,,,2,1
lamm,,,1,1
lange,,,7,1
laquey,,,1,1
lassen,,,10,1
lauter,,,2,1
lebe,,,1,1
leben,,,2,1
lebensart,,,1,1
ledig,,,1,1
leicht,,,1,1
leiden,,,1,1
lernen,,,1,1
letztemahl,,,1,1
letzteren,,,1,1
leute,,,3,1
lieb,,,1,1
liebe,,,15,1
lieben,,,5,1
liebenswürdig,,,3,1
lieber,,,3,1
liebhaber,,,2,1
liebwertheste,,,1,1
lobrede,,,1,1
lustige,,,1,1
lustspiels,,,1,1
lächerliche,,,1,1
lämmel,,,1,1
länger,,,2,1
läuten,,,1,1
mache,,,1,1
machen,,,8,1
machte,,,1,1
mag,,,7,1
man,,,23,1
mann,,,5,1
mannsbild,,,1,1
mannsbilder,,,1,1
mannsbildern,,,1,1
mannsperson,,,1,1
mannspersonen,,,2,1
mehr,,,7,1
mein,,,9,1
meine,,,26,1
meinem,,,2,1
meinen,,,6,1
meiner,,,10,1
meines,,,1,1
meinung,,,1,1
mensch,,,4,1
menschen,,,1,1
meta,,,1,1
meyne,,,1,1
mich,,,28,1
miene,,,1,1
mir,,,31,1
mit,,,20,1
miteinander,,,1,1
monsieur,,,1,1
munde,,,1,1
muß,,,11,1
mädel,,,2,1
männer,,,1,1
möchte,,,3,1
mühe,,,1,1
nach,,,6,1
nachdenken,,,1,1
nachrichten,,,1,1
namen,,,1,1
narr,,,2,1
nasenweis,,,1,1
nehmen,,,2,1
nein,,,3,1
nennen,,,1,1
neugierig,,,1,1
neuigkeit,,,2,1
neun,,,1,1
neunter,,,1,1
nicht,,,52,1
nichts,,,3,1
nieder,,,2,1
niemals,,,4,1
niemanden,,,2,1
nimmt,,,1,1
noch,,,24,1
nu,,,1,1
nun,,,16,1
nunmehro,,,1,1
nur,,,11,1
nutz,,,1,1
nämlich,,,1,1
närrin,,,2,1
o,,,14,1
ob,,,3,1
oder,,,2,1
oheim,,,1,1
ohne,,,1,1
oper,,,1,1
paar,,,1,1
paris,,,1,1
person,,,1,1
personen,,,3,1
pflanzen,,,1,1
plagen,,,1,1
platz,,,3,1
platzregen,,,1,1
plaudern,,,1,1
post,,,1,1
preßirt,,,1,1
princeßinen,,,1,1
probe,,,1,1
prophezeyht,,,1,1
propos,,,1,1
prüden,,,2,1
rar,,,1,1
rath,,,1,1
recht,,,19,1
rechte,,,1,1
rechtschaffen,,,1,1
rede,,,1,1
reden,,,1,1
regnen,,,1,1
regnet,,,1,1
reichthum,,,1,1
reissende,,,1,1
reizende,,,1,1
reizungen,,,2,1
reißen,,,1,1
richtig,,,1,1
rolle,,,1,1
romanen,,,1,1
rose,,,1,1
ruhig,,,2,1
ruhige,,,1,1
rächen,,,1,1
sache,,,3,1
sachen,,,1,1
sagen,,,4,1
sanftmüthig,,,1,1
scham,,,1,1
scharmant,,,1,1
schatz,,,1,1
schau,,,1,1
scheint,,,1,1
schelm,,,1,1
schicken,,,2,1
schlagen,,,1,1
schlecht,,,1,1
schlechtere,,,1,1
schlechtes,,,1,1
schmeicheln,,,1,1
schon,,,15,1
schonen,,,1,1
schämen,,,1,1
schätze,,,2,1
schön,,,2,1
schöne,,,2,1
schönen,,,1,1
schöner,,,1,1
schönes,,,1,1
schönheit,,,1,1
sechster,,,1,1
sehe,,,4,1
sehen,,,2,1
sehn,,,7,1
sehnlich,,,1,1
sehr,,,11,1
seine,,,2,1
seiner,,,2,1
seite,,,1,1
seiten,,,1,1
selber,,,2,1
servante,,,1,1
sessel,,,1,1
setzen,,,5,1
setzt,,,2,1
seufzet,,,1,1
seyn,,,18,1
sich,,,33,1
sicher,,,1,1
sie,,,128,1
siebenter,,,1,1
siehst,,,2,1
sieht,,,1,1
sind,,,20,1
sinnlich,,,1,1
sitzen,,,1,1
so,,,54,1
soll,,,5,1
sollen,,,2,1
sollte,,,4,1
sollten,,,1,1
sommer,,,1,1
sonderbar,,,1,1
sonderlich,,,1,1
sonderlichen,,,1,1
sonst,,,4,1
spielt,,,1,1
spott,,,1,1
sprache,,,1,1
spricht,,,1,1
spöttisch,,,1,1
staat,,,1,1
stehn,,,2,1
steht,,,1,1
stellt,,,1,1
stellung,,,1,1
sterbe,,,1,1
strafbar,,,1,1
streich,,,1,1
stunde,,,1,1
suchen,,,1,1
sünde,,,1,1
tag,,,1,1
tage,,,1,1
tausch,,,1,1
tauschen,,,1,1
tausend,,,1,1
tausendmal,,,1,1
teufel,,,3,1
that,,,3,1
thun,,,1,1
thut,,,1,1
tod,,,2,1
traurige,,,1,1
treffe,,,1,1
treu,,,1,1
triumph,,,1,1
triumphiren,,,1,1
trägt,,,2,1
träumen,,,1,1
trösten,,,1,1
trügt,,,1,1
tyrann,,,1,1
um,,,3,1
umgange,,,1,1
umgehen,,,1,1
unbeweglich,,,1,1
und,,,49,1
unendlichem,,,1,1
ungefähr,,,1,1
ungezwungen,,,1,1
unglücklich,,,2,1
unglücklichen,,,1,1
unglückseligste,,,1,1
unhöflich,,,1,1
unmöglichkeiten,,,2,1
unrecht,,,1,1
unruhe,,,1,1
uns,,,7,1
unsere,,,1,1
unter,,,2,1
unterhaltung,,,1,1
unterthänig,,,1,1
unterthänige,,,1,1
unterthäniger,,,1,1
unvergleichlich,,,1,1
unvermuthet,,,2,1
unwürdig,,,2,1
ursache,,,1,1
ursachen,,,1,1
verabscheue,,,1,1
verachte,,,1,1
verachtet,,,1,1
verbindliches,,,1,1
verblühen,,,1,1
verbrechen,,,1,1
verdienen,,,1,1
verdient,,,1,1
verdiente,,,1,1
vergeben,,,1,1
vergebung,,,3,1
vergessen,,,2,1
vergieb,,,1,1
vergnügen,,,2,1
verheyrathen,,,2,1
verheyrathet,,,1,1
verirrung,,,1,1
verlange,,,1,1
verlangen,,,1,1
verlegenheit,,,1,1
verliebt,,,1,1
verluste,,,1,1
verläßt,,,1,1
vermuthet,,,2,1
vermählung,,,2,1
vernunft,,,2,1
vernünftig,,,1,1
verräther,,,2,1
verrückt,,,1,1
verschwunden,,,1,1
versehn,,,1,1
versichere,,,1,1
verspreche,,,3,1
versprechen,,,2,1
versprochen,,,2,1
verstand,,,2,1
verstehn,,,1,1
verstorbener,,,1,1
versuchen,,,1,1
verweilen,,,1,1
verwirrung,,,1,1
viele,,,3,1
vielleicht,,,3,1
vierteljahre,,,1,1
vierter,,,1,1
vollkommen,,,2,1
von,,,21,1
vor,,,6,1
vorgenommen,,,1,1
vorgesagt,,,1,1
vorige,,,1,1
vorigen,,,4,1
vortreflich,,,1,1
votre,,,1,1
wahr,,,5,1
wahre,,,1,1
wahrheit,,,2,1
war,,,8,1
warum,,,7,1
was,,,28,1
wechsel,,,1,1
weder,,,2,1
weh,,,2,1
weiden,,,1,1
weil,,,2,1
weis,,,1,1
weitem,,,1,1
weiß,,,10,1
weißt,,,2,1
welcher,,,1,1
welt,,,4,1
wenden,,,1,1
wenig,,,4,1
wenn,,,17,1
wer,,,3,1
werde,,,4,1
werden,,,9,1
werth,,,1,1
wetter,,,3,1
wider,,,1,1
widerwillen,,,1,1
wie,,,20,1
wieder,,,12,1
wiederfahren,,,1,1
wien,,,1,1
will,,,7,1
willkommen,,,3,1
wir,,,10,1
wird,,,8,1
wirst,,,2,1
wissen,,,4,1
wittwen,,,1,1
wochen,,,1,1
wohl,,,4,1
wollen,,,11,1
wort,,,2,1
worte,,,1,1
wunder,,,2,1
wundere,,,1,1
wußte,,,1,1
wäre,,,6,1
wären,,,1,1
wärest,,,1,1
wünschen,,,2,1
würde,,,2,1
würden,,,1,1
würdig,,,2,1
würdiger,,,1,1
würklich,,,1,1
zehnmal,,,1,1
zeichen,,,1,1
zeigen,,,3,1
zeit,,,5,1
zeiten,,,1,1
zerspringen,,,1,1
zu,,,41,1
zufall,,,1,1
zufrieden,,,1,1
zum,,,2,1
zwar,,,1,1
zweifel,,,1,1
zweifeln,,,1,1
zweytemal,,,1,1
zweyter,,,1,1
zärtlich,,,1,1
zärtliche,,,2,1
zärtlichen,,,1,1
zärtlichkeit,,,6,1
älter,,,1,1
über,,,2,1
überhaupt,,,1,1
