"","tn","index","request","undef","checksum","undefindex","indexindex","requestindex","unclearindex","undefrequest","indexrequest","requestrequest","unclearrequest","undefundef","indexundef","requestundef","unclearundef","indexundef_p","indexindex_p","indexrequest_p","indexunclear_p","requestindex_p","requestrequest_p","requestundef_p","requestunclear_p","undefindex_p","undefrequest_p","undefundef_p","undefunclear_p"
"33",33,13,12,13,38,2,3,8,0,0,4,8,0,1,4,8,0,15.3846153846154,23.0769230769231,61.5384615384615,0,33.3333333333333,66.6666666666667,0,0,30.7692307692308,61.5384615384615,7.69230769230769,0
"34",34,13,11,13,37,1,5,5,2,0,5,4,2,3,4,2,4,7.69230769230769,38.4615384615385,38.4615384615385,15.3846153846154,45.4545454545455,36.3636363636364,0,18.1818181818182,30.7692307692308,15.3846153846154,23.0769230769231,30.7692307692308
"35",35,11,11,10,32,1,2,1,7,1,0,3,7,2,2,0,6,9.09090909090909,18.1818181818182,9.09090909090909,63.6363636363636,0,27.2727272727273,9.09090909090909,63.6363636363636,20,0,20,60
"36",36,13,12,13,38,2,6,5,0,2,3,7,0,2,6,5,0,15.3846153846154,46.1538461538462,38.4615384615385,0,25,58.3333333333333,16.6666666666667,0,46.1538461538462,38.4615384615385,15.3846153846154,0
"37",37,13,11,13,37,1,0,5,7,1,0,3,7,0,3,3,7,7.69230769230769,0,38.4615384615385,53.8461538461538,0,27.2727272727273,9.09090909090909,63.6363636363636,23.0769230769231,23.0769230769231,0,53.8461538461538
"38",38,13,12,13,38,0,2,11,0,0,6,6,0,0,4,9,0,0,15.3846153846154,84.6153846153846,0,50,50,0,0,30.7692307692308,69.2307692307692,0,0
"39",39,13,12,12,37,0,3,10,0,0,5,7,0,2,2,8,0,0,23.0769230769231,76.9230769230769,0,41.6666666666667,58.3333333333333,0,0,16.6666666666667,66.6666666666667,16.6666666666667,0
"40",40,13,11,13,37,5,3,5,0,3,4,4,0,4,4,2,3,38.4615384615385,23.0769230769231,38.4615384615385,0,36.3636363636364,36.3636363636364,27.2727272727273,0,30.7692307692308,15.3846153846154,30.7692307692308,23.0769230769231
"41",41,12,13,13,38,0,3,5,4,0,5,4,4,2,5,3,3,0,25,41.6666666666667,33.3333333333333,38.4615384615385,30.7692307692308,0,30.7692307692308,38.4615384615385,23.0769230769231,15.3846153846154,23.0769230769231
"42",42,10,10,9,29,0,1,3,6,0,4,0,6,0,1,1,7,0,10,30,60,40,0,0,60,11.1111111111111,11.1111111111111,0,77.7777777777778
"43",43,12,13,13,38,0,4,8,0,1,5,7,0,0,2,8,3,0,33.3333333333333,66.6666666666667,0,38.4615384615385,53.8461538461538,7.69230769230769,0,15.3846153846154,61.5384615384615,0,23.0769230769231
"44",44,6,5,4,15,0,0,4,2,0,2,1,2,0,1,1,2,0,0,66.6666666666667,33.3333333333333,40,20,0,40,25,25,0,50
"45",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,11,11,11,33,0,10,1,0,0,9,2,0,0,9,2,0,0,90.9090909090909,9.09090909090909,0,81.8181818181818,18.1818181818182,0,0,81.8181818181818,18.1818181818182,0,0
"47",47,2,2,2,6,0,1,0,1,0,1,0,1,0,2,0,0,0,50,0,50,50,0,0,50,100,0,0,0
"48",48,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,100,0,NA,NA,NA,NA,NA,NA,NA,NA
"49",49,3,3,3,9,0,0,1,2,0,0,1,2,2,1,0,0,0,0,33.3333333333333,66.6666666666667,0,33.3333333333333,0,66.6666666666667,33.3333333333333,0,66.6666666666667,0
"50",50,12,9,13,34,1,5,4,2,3,3,1,2,2,3,8,0,8.33333333333333,41.6666666666667,33.3333333333333,16.6666666666667,33.3333333333333,11.1111111111111,33.3333333333333,22.2222222222222,23.0769230769231,61.5384615384615,15.3846153846154,0
"51",51,12,10,13,35,2,1,9,0,2,3,5,0,4,3,6,0,16.6666666666667,8.33333333333333,75,0,30,50,20,0,23.0769230769231,46.1538461538462,30.7692307692308,0
"52",52,12,12,13,37,0,5,4,3,0,5,4,3,0,3,4,6,0,41.6666666666667,33.3333333333333,25,41.6666666666667,33.3333333333333,0,25,23.0769230769231,30.7692307692308,0,46.1538461538462
"53",53,12,12,13,37,0,4,8,0,4,4,4,0,0,4,9,0,0,33.3333333333333,66.6666666666667,0,33.3333333333333,33.3333333333333,33.3333333333333,0,30.7692307692308,69.2307692307692,0,0
"54",54,12,5,13,30,0,2,9,1,0,4,0,1,0,1,8,4,0,16.6666666666667,75,8.33333333333333,80,0,0,20,7.69230769230769,61.5384615384615,0,30.7692307692308
"55",55,11,10,13,34,2,7,1,1,1,7,1,1,1,3,4,5,18.1818181818182,63.6363636363636,9.09090909090909,9.09090909090909,70,10,10,10,23.0769230769231,30.7692307692308,7.69230769230769,38.4615384615385
"56",56,13,10,12,35,1,4,7,1,3,2,4,1,1,1,6,4,7.69230769230769,30.7692307692308,53.8461538461538,7.69230769230769,20,40,30,10,8.33333333333333,50,8.33333333333333,33.3333333333333
"57",57,13,13,12,38,1,3,6,3,3,2,5,3,1,4,6,1,7.69230769230769,23.0769230769231,46.1538461538462,23.0769230769231,15.3846153846154,38.4615384615385,23.0769230769231,23.0769230769231,33.3333333333333,50,8.33333333333333,8.33333333333333
"58",58,13,14,13,40,2,1,9,1,3,5,5,1,1,3,7,2,15.3846153846154,7.69230769230769,69.2307692307692,7.69230769230769,35.7142857142857,35.7142857142857,21.4285714285714,7.14285714285714,23.0769230769231,53.8461538461538,7.69230769230769,15.3846153846154
"59",59,13,12,13,38,0,2,11,0,0,3,9,0,0,2,11,0,0,15.3846153846154,84.6153846153846,0,25,75,0,0,15.3846153846154,84.6153846153846,0,0
"60",60,13,13,13,39,2,4,7,0,1,4,8,0,1,4,8,0,15.3846153846154,30.7692307692308,53.8461538461538,0,30.7692307692308,61.5384615384615,7.69230769230769,0,30.7692307692308,61.5384615384615,7.69230769230769,0
"61",61,12,13,13,38,0,4,6,2,0,2,9,2,0,4,9,0,0,33.3333333333333,50,16.6666666666667,15.3846153846154,69.2307692307692,0,15.3846153846154,30.7692307692308,69.2307692307692,0,0
"62",62,2,4,2,8,1,0,1,0,0,1,3,0,0,0,2,0,50,0,50,0,25,75,0,0,0,100,0,0
"63",63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
