"brentano_die-gruendung-prags-1814" "brentano_ponce-de-leon-1803" "goethe_der-buergergeneral-1793" "goethe_der-grosskophta-1791" "goethe_die-natuerliche-tochter-1803" "goethe_faust-der-tragoedie-zweiter-teil-1832" "goethe_torquato-tasso-1790" "iffland_das-erbtheil-des-vaters-1802" "iffland_der-spieler-1796" "kleist_amphitryon-1807" "kleist_der-zerbrochene-krug-1808" "kleist_die-familie-schroffenstein-1803" "kleist_die-hermannsschlacht-1808" "kleist_penthesilea-1808" "kleist_prinz-friedrich-von-homburg-1810" "kotzebue_der-hyperboreische-esel-1799" "kotzebue_die-deutschen-kleinstaedter-1802" "kotzebue_menschenhass-und-reue-1788" "schiller_die-braut-von-messina-1803" "schiller_die-jungfrau-von-orleans-1801" "schiller_die-piccolomini-1799" "schiller_kabale-und-liebe-1784" "schiller_maria-stuart-1800" "schiller_wallensteins-lager-1798" "schiller_wallensteins-tod-1799" "schiller_wilhelm-tell-1804" "schlegel_alarcos-1802" "tieck_der-gestiefelte-kater-1797" "tieck_die-verkehrte-welt-1800" "tieck_prinz-zerbino-1799" "tieck_ritter-blaubart-1797" "werner_der-vierundzwanzigste-februar-1809"
"den" 1.55336457827171 0.719334848815122 0.855484265200122 0.716564417177914 0.713194090677534 0.808194506978838 0.841859341013454 0.82991700829917 0.72505953956073 1.28818767358033 1.43190143190143 0.975060022539076 1.41407599309154 1.50575730735164 1.34571783807504 0.695865738845682 0.81036200597808 0.844180343331447 1.08105171664494 1.11436473076297 1.21114683815648 1.07098280790756 0.965456481039609 1.32618510158014 1.02410299550126 1.34757182812103 1.05564325177585 1.00570307230024 0.840766943504563 0.912419036891017 0.646042334156206 0.8274231678487
"in" 1.09252786181168 0.934201102357301 0.702719217842958 1.24171779141104 0.916963830871116 0.902746510580819 0.902279867880448 0.904909509049095 0.762106377348505 0.92773148968859 0.865800865800866 0.754569062668431 1.30613126079447 1.0442403617547 1.118993637095 0.798198935734752 0.929923613417469 1.07055272590077 1.26032159930465 1.19977224662437 1.0075026795284 0.913959012763216 1.08659740831834 1.02990970654628 0.983870377820855 1.15687770150013 1.24309392265193 1.04249708714049 0.994565774633446 1.21280390500329 0.808866011870371 0.722353559232992
"es" 0.782168440522282 1.20200541836639 1.25267338832875 1.32515337423313 0.687722873153337 1.0040522287258 1.48634496092806 1.24487551244876 1.34427097115639 0.833185605389115 0.659340659340659 1.34254495565682 0.707037996545769 0.689944524730782 0.687486286842683 1.30986492018011 1.0096313517104 0.735710243350311 0.771403737505432 0.776801691882219 1.13612004287245 0.930064017393405 0.954443669468815 0.648984198645598 1.06433561318167 0.872955335197898 1.18389897395422 1.19580548230821 1.25089715984825 1.15648174223224 1.47066547612795 0.788022064617809
"mir" 0.998479552330047 0.847008999470619 0.641613198900092 0.912883435582822 1.02903718797759 0.567312021611887 1.04326109723677 0.68993100689931 0.809738025932786 1.89091768598948 1.08558108558109 1.19065118330148 1.14421416234888 1.1048435970351 1.22138521173115 0.716332378223496 0.67087346396546 1.09884927372194 1.07018687527162 0.833740035789816 0.793140407288317 0.805250231509442 1.00950772732279 0.465575620767494 1.02044548480304 0.661072972285787 0.759668508287293 0.840130005519102 0.794627294165898 0.857974279545668 1.01896107988865 1.12949829261886
"ein" 0.923240904744737 0.980911157475166 0.855484265200122 0.760736196319018 1.20733571064697 1.03331832507879 0.725046322403931 0.81991800819918 0.894416512304843 1.07545943390652 1.24542124542125 1.30824636189916 0.901338514680484 0.66197380075521 0.848387332699481 1.45313139582481 1.20890069744271 1.32050556498774 0.727944372012169 0.679193102326338 0.782422293676313 0.652252687522648 0.800264307477699 1.10045146726862 0.75710471453129 0.856004746164929 0.493291239147593 1.19580548230821 0.948426125294781 0.951844550830752 0.84563264877357 1.18203309692671
"so" 0.691255074690032 1.33902158004546 1.14573785517874 0.829447852760736 0.850738665308202 0.835209365150833 1.16007411584629 1.38986101389861 1.12198994442974 0.84500384092655 0.912420912420912 1.28374736635798 0.723229706390328 0.876416017901263 0.709427338550428 1.08473188702415 0.817004317502491 0.924353895491417 0.380269448066058 0.50024402147389 0.744908896034298 0.724725208358497 0.554311515729966 0.846501128668172 0.632749350791851 0.563607085346216 1.07537490134175 1.34298154166922 1.17912437198811 1.29165493288276 1.44440359262566 0.945626477541371
"er" 0.713199680235748 0.993367172173263 1.42071494042163 0.986503067484663 0.407539480387163 0.810445745159838 1.24063481833562 0.96990300969903 1.04789626885419 0.862731194232701 1.19214119214119 1.22494977705914 0.998488773747841 0.895063167218311 1.47005046441893 0.900532132623823 1.21554300896712 1.03282399547255 0.467188179052586 0.569383439075972 1.2379421221865 0.837460240769819 0.56532432730076 1.63656884875847 1.15211586993892 0.978896516653954 0.542620363062352 1.03023241552707 0.62032195221983 0.739697737726462 0.887651662377226 1.64171263462044
"mich" 0.600341708857783 0.91240307663563 0.702719217842958 1.17791411042945 1.44167091186959 0.607834308869878 1.20438250221542 0.85991400859914 1.01084943106642 1.15818708266856 0.432900432900433 0.862364643049635 0.77720207253886 0.601370565474803 0.680172602940101 0.49119934506754 0.40518100298904 0.669684965100924 0.934376358105172 0.740198470798764 0.637727759914255 0.853565245400008 1.00583679013252 0.282167042889391 0.753447203833071 0.525468260022036 0.917521704814522 0.533513215183663 0.661334973854199 0.739697737726462 0.745837491464888 1.03756238508012
"ihr" 0.96399517218678 1.38884563883785 1.90956309196456 0.706748466257669 0.458481915435558 0.592075641602882 0.269878353339241 0.414958504149585 0.486901296639323 0.667730307865036 1.75158175158175 0.259689352736538 0.588298791018998 1.21672649293739 0.54852629269363 0.143266475644699 0.259050149452009 0.33955857385399 0.516079965232508 0.92321457621604 0.535905680600214 0.27378507871321 1.54546455710143 0.691309255079007 0.790022310815259 1.2543435884397 0.345303867403315 0.423131170662906 0.815133804983082 0.752839575706374 1.2815799149115 0.945626477541371
"mit" 0.841732369860652 0.551178650390807 0.504124656278643 0.539877300613497 0.743759551706572 0.659612787032868 0.805607024893257 0.74992500749925 0.70918232336597 0.520002363647108 0.486180486180486 0.636973884070753 0.868955094991364 0.881077805230525 0.694799970745264 0.675399099467867 0.664231152441049 0.613091869458593 0.798565840938722 0.752399544493249 0.836012861736334 0.716672706043403 0.748871186813994 0.804176072234763 0.782707289418822 0.856004746164929 0.739936858721389 0.55191022260379 0.55367579206398 0.705904440063832 0.614528073953464 0.669818754925138
