"participant","itemId","regionId","roiRelPosition","elapsedTime","timeInterval","keyCode","string","setName","groupName","tag1","tag2"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_1",NA,41899,897,"KBD:32"," Alles, was er bei der Arbeit tat,","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_2",NA,42161,262,"KBD:32"," war Teil einer Strategie,","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_3",NA,42451,290,"KBD:32"," um eine weitere Beförderung zu bekommen.","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_4",NA,42678,227,"KBD:32"," Er war sehr wettbewerbsorientiert","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_5",NA,42922,244,"KBD:32"," und erwartete immer,","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_6",NA,43162,240,"KBD:32"," dass von der Tribüne stehende Ovationen kamen.","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_7",NA,43452,290,"KBD:32"," Sein Chef war mit Johns Arbeit zufrieden,","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM2","SM2_8",NA,43950,498,"KBD:32"," aber seine Kollegen waren seinen Ehrgeiz leid.","all","SM","RUB","2SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_fixation",NA,44419,469,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_0",NA,45085,666,"KBD:32","Eigentlich sollten die Figuren im Regal dafür sorgen,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_1",NA,45398,313,"KBD:32"," dass Erna stets alle Hände voll zu tun hatte, wenn sie staubwedelnd durch die Wohnung fegte.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_2",NA,45637,239,"KBD:32"," Die Putzfee hatte jedoch ein Geistesblitz ereilt,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_3",NA,45871,234,"KBD:32"," als sie einmal zufällig lange genug vor einem der Staubfänger verweilt war.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_4",NA,46120,249,"KBD:32"," Man musste bei manchem Reinigungsakt einfach","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_5",NA,46377,257,"KBD:32"," ein Auge zudrücken,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_6",NA,46639,262,"KBD:32"," dann säuberten sich die Regale wie von selbst.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem20","fillerem20_7",NA,46950,311,"KBD:32"," Ihre Kinder waren ohnehin blind für den Schmutz.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_fixation",NA,47482,532,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_0",NA,48221,739,"KBD:32","Anna und Luisa waren ein Herz und eine Seele.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_1",NA,48641,420,"KBD:32"," Lange Zeit steuerten sie gemeinsam durch dick und dünn,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_2",NA,48964,323,"KBD:32"," bis sie eines Tages vom Kurs abkamen ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_3",NA,49417,453,"KBD:32","und ihre Freundschaft ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem22","fillerem22_4",NA,49820,403,"KBD:32"," den Bach runter ging. ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_fixation",NA,50272,452,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_0",NA,50832,560,"KBD:32","Nach Martas Meinung war Depression eine Kröte,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_1",NA,51139,307,"KBD:32"," die schmierig auf deinem Kopf hocken konnte,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_2",NA,51383,244,"KBD:32"," bis sie endlich doch noch herunterrutschte.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_3",NA,51600,217,"KBD:32"," Die Traurigkeit aber, in  der sie die letzten zehn Tage verbracht hatte,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_4",NA,51834,234,"KBD:32"," war eine andere.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_5",NA,52072,238,"KBD:32"," Hektisch und aggressiv.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_6",NA,52272,200,"KBD:32"," Mit scharfen Krallen.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_7",NA,52545,273,"KBD:32"," Sie hatte nicht auf Marta gesessen,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem01","fillerem01_8",NA,52913,368,"KBD:32"," sondern sie richtig überfallen.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_fixation",NA,53400,487,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_0",NA,53949,549,"KBD:32","Endlich war es da ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_1",NA,54277,328,"KBD:32","- das lang ersehnte Wochenende im Vergnügungspark.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_2",NA,54533,256,"KBD:32"," Tom und seine FreundInnen reihten sich wieder und wieder in die Schlangen der Wartenden. ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_3",NA,54851,318,"KBD:32"," Sie ließen keines der Fahrgeschäfte aus. ","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc23","fillerlc23_4",NA,55096,245,"KBD:32"," Ihr Highlight war ein Ritt auf der Achterbahn.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM11","SM11_fixation",NA,55650,554,"KBD:32","X","all","SM","RUB","11SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM11","SM11_0",NA,57098,1448,"KBD:32","Petra besuchte letzte Woche ihr Lieblingsmuseum, in dem sie schon lange nicht mehr gewesen war.","all","SM","RUB","11SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM11","SM11_1",NA,61175,4077,"KBD:32"," Sie verbrachte Stunden damit, sich die Bilder, Kunstwerke, Ausstellungstücke und Info-Texte durchzulesen und alles in Erfahrung zu bringen, was sie konnte.","all","SM","RUB","11SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM11","SM11_2",NA,62105,930,"KBD:32"," Es war ein heftiger Rausch.","all","SM","RUB","11SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","SM11","SM11_3",NA,65056,2951,"KBD:32"," Petra vergaß schnell die Zeit und wurde fast im Museum eingeschlossen, doch der Hausmeister bemerkte sie zum Glück noch rechtzeitig.","all","SM","RUB","11SM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_fixation",NA,65468,412,"KBD:32","X","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_0",NA,66259,791,"KBD:32","Merve ist seit kurzem verliebt und nur noch auf fernen Planeten anzutreffen.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_1",NA,66639,380,"KBD:32"," Es geschah ohne Countdown ziemlich schnell vor zwei Wochen.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_2",NA,66886,247,"KBD:32"," Sie sagt, dass es etwa 3 Sekunden dauerte und schon hatte sie die Umlaufbahn verlassen.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_3",NA,67223,337,"KBD:32"," Sie schwebte durch den Raum.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_4",NA,67587,364,"KBD:32"," Seither ist um sie herum alles wie voller Sternenstaub und Glitzer.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM10","EM10_5",NA,67942,355,"KBD:32"," Dennoch hat Merve ein wenig Angst, was sie von Zeit zu Zeit doch dazu zwingt, auf dem Planeten zu landen, um sich ein wenig zu erden.","all","EM","RUB","10EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_fixation",NA,68486,544,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_0",NA,68990,504,"KBD:32","Esra wollte ihren ehemaligen Arbeitgeber vor Gericht in Frikassee verwandeln.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_1",NA,69375,385,"KBD:32"," Doch sie wusste nicht, dass die Firma sich von einem der gefährlichsten Raubtiere im Meer vertreten ließ.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_2",NA,69598,223,"KBD:32"," Keines seiner Opfer war je von ihm verschont worden.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_3",NA,70016,418,"KBD:32"," Der Anwalt war ein Hai.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem17","fillerem17_4",NA,70386,370,"KBD:32"," Wen er zwischen die Zähne bekam, der konnte damit rechnen, im Gerichtssaal zerfetzt zu werden.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_fixation",NA,70849,463,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_0",NA,71251,402,"KBD:32","Wenn Ginas Büroangestellte kooperativ waren,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_1",NA,71659,408,"KBD:32"," konnten sie großartige Dinge zusammen erreichen.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_2",NA,71881,222,"KBD:32"," Sie waren ein Chor in perfekter Harmonie;","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_3",NA,72109,228,"KBD:32"," die zarten Töne des Soprans","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_4",NA,72332,223,"KBD:32"," fügten sich perfekt ein in das mächtige Donnern der Bässe.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_5",NA,72537,205,"KBD:32"," Nach der Performance musste Gina lediglich","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_6",NA,72734,197,"KBD:32"," die Blumensträuße aufheben, die man auf die Bühne geworfen hatte.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_7",NA,72941,207,"KBD:32"," Wenn sie jedoch unkooperativ waren,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerem04","fillerem04_8",NA,73175,234,"KBD:32"," war die sich ergebende Kakophonie ein Angriff auf die Sinne.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_fixation",NA,73617,442,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_0",NA,74030,413,"KBD:32","Peter kaufte sich vor kurzem eine Ukulele.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_1",NA,74415,385,"KBD:32"," Es war schon immer sein Wunsch gewesen, noch ein Instrument zu lernen.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_2",NA,74615,200,"KBD:32"," Sogar den Nachbarn gefiel die Idee.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_3",NA,74843,228,"KBD:32"," Er verbrachte ohne Mühe viel Zeit beim Spielen und der Klang im Wohnzimmer war sehr gut.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_4",NA,75055,212,"KBD:32"," Dieses hatte eine tolle Resonanz.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_5",NA,75271,216,"KBD:32"," Seither veranstaltet er kleine Konzerte, was den Zusammenhalt unter den Nachbarn stärkt.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc13","fillerlc13_6",NA,75481,210,"KBD:32"," Die Ukulele hat Peter zu ganz neuen Ausdrucksmöglichkeiten und FreundInnen verholfen.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","LC5","LC5_fixation",NA,76002,521,"KBD:32","X","all","LC","RUB","5LC"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","LC5","LC5_0",NA,76393,391,"KBD:32","Die Führungskräfte des Unternehmens waren sehr besorgt über die Stromversorgung.","all","LC","RUB","5LC"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","LC5","LC5_1",NA,76801,408,"KBD:32"," Alle Daten im Netzwerk waren auf Servern gespeichert, die ständig laufen mussten.","all","LC","RUB","5LC"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","LC5","LC5_2",NA,77033,232,"KBD:32"," In den vorangegangenen Wochen war es jedoch gelegentlich zu Stromausfällen gekommen.","all","LC","RUB","5LC"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","LC5","LC5_3",NA,77273,240,"KBD:32"," Schließlich begann das Unternehmen zu überlegen, ob in Backup-Generatoren investiert werden sollte.","all","LC","RUB","5LC"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM6","MM6_fixation",NA,77698,425,"KBD:32","X","all","MM","RUB","6MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM6","MM6_0",NA,78106,408,"KBD:32","fehlt.","all","MM","RUB","6MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_fixation",NA,78710,604,"KBD:32","X","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_0",NA,78982,272,"KBD:32","Für Lars war das Aufstehen eine Zwangsarbeit.","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_1",NA,79251,269,"KBD:32"," Jeden Morgen weigerte er sich so lange, das Steuer seines Lebens zu übernehmen,","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_2",NA,79489,238,"KBD:32"," bis Xenia ihn wachrüttelte.","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_3",NA,79700,211,"KBD:32"," Bis ins hohe Alter wuchs er aus seinen Kinderschuhen nie ganz heraus.","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","MM18","MM18_4",NA,79962,262,"KBD:32"," Aber zu seinem Glück setzte Xenia ihm auch nie die Pistole auf die Brust.","all","MM","RUB","18MM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_fixation",NA,80409,447,"KBD:32","X","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_0",NA,80805,396,"KBD:32","Jede neue Information wurde von Erna wie ein Buch in ihr mentales Bücherregal gestellt.","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_1",NA,81309,504,"KBD:32"," Die Abteilung für Naturwissenschaften war besonders gut sortiert.","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_2",NA,81571,262,"KBD:32"," Erna war eine wandelnde Bibliothek.","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_3",NA,81782,211,"KBD:32"," Wenn es darauf ankam,","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_4",NA,81998,216,"KBD:32"," konnte sie immer auf dieses Archiv zurückgreifen.","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","EM26","EM26_5",NA,82254,256,"KBD:32"," Immerhin hatte sie dort sämtliche Einträge von ‚A‘ wie ‚Amalgam‘ bis ‚Z‘ wie ‚Zentrifugalkraft‘ gelagert.","all","EM","RUB","26EM"
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc07","fillerlc07_fixation",NA,82763,509,"KBD:32","X","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc07","fillerlc07_0",NA,83716,953,"KBD:32","Ronja ist in den Bergen aufgewachsen","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc07","fillerlc07_1",NA,84125,409,"KBD:32"," und an ein naturnahes und körperlich anspruchsvolles Leben gewöhnt.","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc07","fillerlc07_2",NA,84380,255,"KBD:32"," Abends, nach einem langen Tag,","all","filleritems",NA,NA
"Mon Jul 12 2021 19:09:46 GMT+0200 (Mitteleuropäische Sommerzeit)","fillerlc07","fillerlc07_3",NA,84586,206,"KBD:32"," beschäftigt sie sich auch gerne künstlerisch,","all","filleritems",NA,NA
