;...1;...2;...3;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test
63;63;63;NA;#innere Monolog#;3;1;%;C;OM;cmnt;inner monologue;%COM: cmnt inner monologue;21;(#innere Monolog#);%#%;(#innere Monolog#);test3
64;64;64;NA;#unverstaendlich#;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;22;(#unverstaendlich#)|(unverstaendlich);%#%;(#unverstaendlich#)|(unverstaendlich);test3
65;65;65;NA;unverstaendlich;3;1;%;C;OM;cmnt;unintelligible;%COM: cmnt unintelligible;22;(#unverstaendlich#)|(unverstaendlich);%#%;(#unverstaendlich#)|(unverstaendlich);test3
66;66;66;NA;#lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;23;(#lachen#)|(#Lachen#);%#%;(#lachen#)|(#Lachen#);test3
67;67;67;NA;#Lachen#;3;1;%;C;OM;cmnt;laughter;%COM: cmnt laughter;23;(#lachen#)|(#Lachen#);%#%;(#lachen#)|(#Lachen#);test3
68;68;68;NA;#9misunderstand#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;24;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);%#%;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);test3
69;69;69;NA;#9misunderstands#;3;1;%;C;OM;cmnt;misunderstanding;%COM: cmnt misunderstanding;24;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);%#%;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);test3
70;70;70;NA;"#minunderstands ""wann""?#";3;1;%;C;OM;cmnt;misunderstanding 'wann';%COM: cmnt misunderstanding;24;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);%#%;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);test3
71;71;71;NA;"#misunderstands ""welchen""#";3;1;%;C;OM;cmnt;misunderstanding 'welchen';%COM: cmnt misunderstanding;24;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);%#%;(#9misunderstand#)|(#9misunderstands#)|(#minunderstands .wann.\?#)|(#misunderstands .welchen.#);test3
72;72;72;NA;#Pause#;4;2;%;P;AU;pause;;%PAU: pause;25;(#Pause#)|(…@);((...));(#Pause#)|(…@);test3
73;73;73;NA;…@;4;1;%;P;AU;pause;;%PAU: pause;25;(#Pause#)|(…@);((...));(#Pause#)|(…@);test3
73;73;73;NA;...@;4;1;%;P;AU;pause;;%PAU: pause;25;(#Pause#)|(...@);((...));(#Pause#)|(…@);test3
73;73;73;NA;#(P)#;4;1;%;P;AU;pause;;%PAU: pause;25;(#Pause#)|(...@);((...));(#Pause#)|(…@);test3
74;74;74;NA;#? #;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
75;75;75;NA;# ---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
76;76;76;NA;---#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
77;77;77;NA;#grrrrrr#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
78;78;78;NA;#9…#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
79;79;79;NA;#...#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
80;80;80;NA;#9..#;3;1;%;C;OM;cmnt;Q;%COM: cmnt Q;26;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);%#%;(#\? #)|(# ---#)|(---#)|(#grrrrrr#)|(#9…#)|(#\.\.\.#)|(#9\.\.#);test3
81;81;81;63;9direct quote?@.;3;9;%;C;OM;cmnt;quote;%COM: cmnt quote;27;(9direct quote\?@\.);%#%;(9direct quote\?@\.);test3
82;82;82;NA;# unclear script#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;28;(# unclear script#)|(#script unclear#);%#%;(# unclear script#)|(#script unclear#);test3
82;82;82;NA;unclear script;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;28;(# unclear script#)|(#script unclear#);%#%;(# unclear script#)|(#script unclear#);test3
83;83;83;NA;#script unclear#;3;1;%;C;OM;cmnt;script unclear;%COM: cmnt script unclear;28;(# unclear script#)|(#script unclear#);%#%;(# unclear script#)|(#script unclear#);test3
84;84;84;NA;#self-correction#;3;1;%;C;OM;cmnt;self-correction;%COM: cmnt self-correction;29;(#self-correction#);%#%;(#self-correction#);test3
85;85;85;NA;#Kopfschuetteln#;3;1;%;C;OM;cmnt;shakes head;%COM: cmnt shakes head;30;(#Kopfschuetteln#);%#%;(#Kopfschuetteln#);test3
86;86;86;NA;#zeigt auf Besen#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;31;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);test3
87;87;87;NA;#zeigt auf ihre Locken#;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;31;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);test3
88;88;88;NA;# zeigt #;3;1;%;C;OM;cmnt;showing;%COM: cmnt showing;31;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);%#%;(#zeigt auf Besen#)|(#zeigt auf ihre Locken#)|(# zeigt #);test3
89;89;89;NA;# zeigt auf das Richtige#;3;1;%;C;OM;cmnt;showing correct;%COM: cmnt showing correct;32;(# zeigt auf das Richtige#);%#%;(# zeigt auf das Richtige#);test3
90;90;90;NA;#unklar#;3;1;%;C;OM;cmnt;unclear;%COM: cmnt unclear;33;(#unklar#);%#%;(#unklar#);test3
91;91;91;NA;#unclear script#;3;1;%;C;OM;cmnt;unclear script;%COM: cmnt unclear script;34;(#unclear script#);%#%;(#unclear script#);test3
2;2;2;6;# 9nst agmt#;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;2;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);test3
3;3;3;17;# 9nst agmt#;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;2;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);test3
4;4;4;76;9nst agmt;1;9;%;N;AG;nonstandard;agreement;%NAG: nonstandard agreement;2;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);%#%;(# 9nst agmt#)|(# 9nst agmt#)|(9nst agmt)|(9nst agmt)|(9nst agmt)|(#9nst agmt\.#)|(#9nst agmt#)|(# 9nst agmt#);test3
