item,frequency-focus,frequency-reference,relative-frequency-focus,relative-frequency-reference,Score
"sondern",1,11737206,529.66101,558.92529,0.948
"werden",17,201040695,9004.23730,9573.54980,0.941
"beide",1,11871601,529.66101,565.32513,0.937
"bereits",1,11948566,529.66101,568.99023,0.931
"mehr",3,36094506,1588.98303,1718.81897,0.925
"nehmen",1,12057567,529.66101,574.18085,0.923
"auch",10,121746062,5296.61035,5797.54248,0.914
"stellen",1,12320673,529.66101,586.70990,0.903
"zu",21,260534395,11122.88184,12406.63672,0.897
"vor",3,37272881,1588.98303,1774.93298,0.895
"deutsch",1,12662562,529.66101,602.99066,0.879
"wie",5,65472410,2648.30518,3117.79346,0.849
"groß",2,26203704,1059.32202,1247.81934,0.849
"und",37,502730915,19597.45703,23940.02539,0.819
"oder",5,68721727,2648.30518,3272.52588,0.809
"tag",1,13907620,529.66101,662.28027,0.800
"für",10,144336045,5296.61035,6873.27686,0.771
"die",111,1664458713,58792.37109,79261.46094,0.742
"auf",9,136275064,4766.94922,6489.41309,0.735
"nun",1,15160659,529.66101,721.94995,0.734
"so",4,60790459,2118.64404,2894.83911,0.732
"bis",2,32641625,1059.32202,1554.39282,0.682
"an",8,131722631,4237.28809,6272.62598,0.676
"jetzt",1,16483116,529.66101,784.92529,0.675
"da",2,33482030,1059.32202,1594.41284,0.665
"geben",2,38069661,1059.32202,1812.87561,0.585
"ja",1,19782965,529.66101,942.06403,0.563
"durch",2,39618437,1059.32202,1886.62830,0.562
"nach",3,62031190,1588.98303,2953.92261,0.538
"gut",2,42510730,1059.32202,2024.35925,0.524
"bei",4,95277546,2118.64404,4537.11279,0.467
"finden",1,24296462,529.66101,1156.99658,0.458
"immer",1,24349300,529.66101,1159.51270,0.457
"mal",1,24469747,529.66101,1165.24841,0.455
"von",8,196272693,4237.28809,9346.49707,0.453
"hier",1,28247466,529.66101,1345.14319,0.394
"meine",1,31686946,529.66101,1508.93103,0.351
"neu",1,32142797,529.66101,1530.63867,0.346
