Type	POS	Rank	Freq	Range	NormFreq	NormRange
kurz		211	2	1	593.824	1.0
kriegen		211	2	1	593.824	1.0
kreutzer		211	2	1	593.824	1.0
höre		211	2	1	593.824	1.0
hoffe		211	2	1	593.824	1.0
hm		211	2	1	593.824	1.0
himmel		211	2	1	593.824	1.0
herz		211	2	1	593.824	1.0
herum		211	2	1	593.824	1.0
größten		211	2	1	593.824	1.0
großmüthig		211	2	1	593.824	1.0
groß		211	2	1	593.824	1.0
gleichwohl		211	2	1	593.824	1.0
gleich		211	2	1	593.824	1.0
glauben		211	2	1	593.824	1.0
geworden		211	2	1	593.824	1.0
getroffen		211	2	1	593.824	1.0
gesunde		211	2	1	593.824	1.0
gesund		211	2	1	593.824	1.0
gerade		211	2	1	593.824	1.0
geliebte		211	2	1	593.824	1.0
geliebt		211	2	1	593.824	1.0
gehn		211	2	1	593.824	1.0
gehe		211	2	1	593.824	1.0
geh		211	2	1	593.824	1.0
geglaubt		211	2	1	593.824	1.0
gefällt		211	2	1	593.824	1.0
füßen		211	2	1	593.824	1.0
frey		211	2	1	593.824	1.0
finden		211	2	1	593.824	1.0
fehlt		211	2	1	593.824	1.0
ewig		211	2	1	593.824	1.0
erasten		211	2	1	593.824	1.0
elend		211	2	1	593.824	1.0
eher		211	2	1	593.824	1.0
drey		211	2	1	593.824	1.0
dieser		211	2	1	593.824	1.0
diese		211	2	1	593.824	1.0
des		211	2	1	593.824	1.0
denken		211	2	1	593.824	1.0
danke		211	2	1	593.824	1.0
brav		211	2	1	593.824	1.0
bis		211	2	1	593.824	1.0
betrüger		211	2	1	593.824	1.0
beständigkeit		211	2	1	593.824	1.0
besser		211	2	1	593.824	1.0
bald		211	2	1	593.824	1.0
augenblick		211	2	1	593.824	1.0
aufwarten		211	2	1	593.824	1.0
am		211	2	1	593.824	1.0
allerliebst		211	2	1	593.824	1.0
ab		211	2	1	593.824	1.0
überhaupt		326	1	1	296.912	1.0
älter		326	1	1	296.912	1.0
zärtlichen		326	1	1	296.912	1.0
zärtlich		326	1	1	296.912	1.0
zweyter		326	1	1	296.912	1.0
zweytemal		326	1	1	296.912	1.0
zweifeln		326	1	1	296.912	1.0
zweifel		326	1	1	296.912	1.0
zwar		326	1	1	296.912	1.0
zufrieden		326	1	1	296.912	1.0
zufall		326	1	1	296.912	1.0
zerspringen		326	1	1	296.912	1.0
zeiten		326	1	1	296.912	1.0
zeichen		326	1	1	296.912	1.0
zehnmal		326	1	1	296.912	1.0
würklich		326	1	1	296.912	1.0
würdiger		326	1	1	296.912	1.0
würden		326	1	1	296.912	1.0
wärest		326	1	1	296.912	1.0
wären		326	1	1	296.912	1.0
wußte		326	1	1	296.912	1.0
wundere		326	1	1	296.912	1.0
worte		326	1	1	296.912	1.0
wochen		326	1	1	296.912	1.0
wittwen		326	1	1	296.912	1.0
wien		326	1	1	296.912	1.0
wiederfahren		326	1	1	296.912	1.0
widerwillen		326	1	1	296.912	1.0
wider		326	1	1	296.912	1.0
werth		326	1	1	296.912	1.0
wenden		326	1	1	296.912	1.0
welcher		326	1	1	296.912	1.0
weitem		326	1	1	296.912	1.0
weis		326	1	1	296.912	1.0
weiden		326	1	1	296.912	1.0
wechsel		326	1	1	296.912	1.0
wahre		326	1	1	296.912	1.0
votre		326	1	1	296.912	1.0
vortreflich		326	1	1	296.912	1.0
vorige		326	1	1	296.912	1.0
vorgesagt		326	1	1	296.912	1.0
vorgenommen		326	1	1	296.912	1.0
vierter		326	1	1	296.912	1.0
vierteljahre		326	1	1	296.912	1.0
verwirrung		326	1	1	296.912	1.0
verweilen		326	1	1	296.912	1.0
versuchen		326	1	1	296.912	1.0
verstorbener		326	1	1	296.912	1.0
verstehn		326	1	1	296.912	1.0
versichere		326	1	1	296.912	1.0
versehn		326	1	1	296.912	1.0
verschwunden		326	1	1	296.912	1.0
verrückt		326	1	1	296.912	1.0
vernünftig		326	1	1	296.912	1.0
verläßt		326	1	1	296.912	1.0
verluste		326	1	1	296.912	1.0
verliebt		326	1	1	296.912	1.0
verlegenheit		326	1	1	296.912	1.0
verlangen		326	1	1	296.912	1.0
verlange		326	1	1	296.912	1.0
verirrung		326	1	1	296.912	1.0
verheyrathet		326	1	1	296.912	1.0
vergieb		326	1	1	296.912	1.0
vergeben		326	1	1	296.912	1.0
verdiente		326	1	1	296.912	1.0
verdient		326	1	1	296.912	1.0
verdienen		326	1	1	296.912	1.0
verbrechen		326	1	1	296.912	1.0
verblühen		326	1	1	296.912	1.0
verbindliches		326	1	1	296.912	1.0
verachtet		326	1	1	296.912	1.0
verachte		326	1	1	296.912	1.0
verabscheue		326	1	1	296.912	1.0
ursachen		326	1	1	296.912	1.0
ursache		326	1	1	296.912	1.0
unvergleichlich		326	1	1	296.912	1.0
unterthäniger		326	1	1	296.912	1.0
unterthänige		326	1	1	296.912	1.0
unterthänig		326	1	1	296.912	1.0
unterhaltung		326	1	1	296.912	1.0
unsere		326	1	1	296.912	1.0
unruhe		326	1	1	296.912	1.0
unrecht		326	1	1	296.912	1.0
unhöflich		326	1	1	296.912	1.0
unglückseligste		326	1	1	296.912	1.0
unglücklichen		326	1	1	296.912	1.0
ungezwungen		326	1	1	296.912	1.0
ungefähr		326	1	1	296.912	1.0
unendlichem		326	1	1	296.912	1.0
unbeweglich		326	1	1	296.912	1.0
umgehen		326	1	1	296.912	1.0
umgange		326	1	1	296.912	1.0
tyrann		326	1	1	296.912	1.0
trügt		326	1	1	296.912	1.0
trösten		326	1	1	296.912	1.0
träumen		326	1	1	296.912	1.0
triumphiren		326	1	1	296.912	1.0
triumph		326	1	1	296.912	1.0
treu		326	1	1	296.912	1.0
treffe		326	1	1	296.912	1.0
traurige		326	1	1	296.912	1.0
thut		326	1	1	296.912	1.0
thun		326	1	1	296.912	1.0
tausendmal		326	1	1	296.912	1.0
tausend		326	1	1	296.912	1.0
tauschen		326	1	1	296.912	1.0
tausch		326	1	1	296.912	1.0
tage		326	1	1	296.912	1.0
tag		326	1	1	296.912	1.0
sünde		326	1	1	296.912	1.0
suchen		326	1	1	296.912	1.0
stunde		326	1	1	296.912	1.0
streich		326	1	1	296.912	1.0
strafbar		326	1	1	296.912	1.0
sterbe		326	1	1	296.912	1.0
stellung		326	1	1	296.912	1.0
stellt		326	1	1	296.912	1.0
steht		326	1	1	296.912	1.0
staat		326	1	1	296.912	1.0
spöttisch		326	1	1	296.912	1.0
spricht		326	1	1	296.912	1.0
sprache		326	1	1	296.912	1.0
spott		326	1	1	296.912	1.0
spielt		326	1	1	296.912	1.0
sonderlichen		326	1	1	296.912	1.0
sonderlich		326	1	1	296.912	1.0
sonderbar		326	1	1	296.912	1.0
sommer		326	1	1	296.912	1.0
sollten		326	1	1	296.912	1.0
sitzen		326	1	1	296.912	1.0
sinnlich		326	1	1	296.912	1.0
sieht		326	1	1	296.912	1.0
siebenter		326	1	1	296.912	1.0
sicher		326	1	1	296.912	1.0
seufzet		326	1	1	296.912	1.0
sessel		326	1	1	296.912	1.0
servante		326	1	1	296.912	1.0
seiten		326	1	1	296.912	1.0
seite		326	1	1	296.912	1.0
sehnlich		326	1	1	296.912	1.0
sechster		326	1	1	296.912	1.0
schönheit		326	1	1	296.912	1.0
schönes		326	1	1	296.912	1.0
schöner		326	1	1	296.912	1.0
schönen		326	1	1	296.912	1.0
schämen		326	1	1	296.912	1.0
schonen		326	1	1	296.912	1.0
schmeicheln		326	1	1	296.912	1.0
schlechtes		326	1	1	296.912	1.0
schlechtere		326	1	1	296.912	1.0
schlecht		326	1	1	296.912	1.0
schlagen		326	1	1	296.912	1.0
schelm		326	1	1	296.912	1.0
scheint		326	1	1	296.912	1.0
schau		326	1	1	296.912	1.0
schatz		326	1	1	296.912	1.0
scharmant		326	1	1	296.912	1.0
scham		326	1	1	296.912	1.0
sanftmüthig		326	1	1	296.912	1.0
sachen		326	1	1	296.912	1.0
rächen		326	1	1	296.912	1.0
ruhige		326	1	1	296.912	1.0
rose		326	1	1	296.912	1.0
romanen		326	1	1	296.912	1.0
rolle		326	1	1	296.912	1.0
richtig		326	1	1	296.912	1.0
reißen		326	1	1	296.912	1.0
reizende		326	1	1	296.912	1.0
reissende		326	1	1	296.912	1.0
reichthum		326	1	1	296.912	1.0
regnet		326	1	1	296.912	1.0
regnen		326	1	1	296.912	1.0
reden		326	1	1	296.912	1.0
rede		326	1	1	296.912	1.0
rechtschaffen		326	1	1	296.912	1.0
rechte		326	1	1	296.912	1.0
rath		326	1	1	296.912	1.0
rar		326	1	1	296.912	1.0
propos		326	1	1	296.912	1.0
prophezeyht		326	1	1	296.912	1.0
probe		326	1	1	296.912	1.0
princeßinen		326	1	1	296.912	1.0
preßirt		326	1	1	296.912	1.0
post		326	1	1	296.912	1.0
plaudern		326	1	1	296.912	1.0
platzregen		326	1	1	296.912	1.0
plagen		326	1	1	296.912	1.0
pflanzen		326	1	1	296.912	1.0
person		326	1	1	296.912	1.0
paris		326	1	1	296.912	1.0
paar		326	1	1	296.912	1.0
oper		326	1	1	296.912	1.0
ohne		326	1	1	296.912	1.0
oheim		326	1	1	296.912	1.0
nämlich		326	1	1	296.912	1.0
nutz		326	1	1	296.912	1.0
nunmehro		326	1	1	296.912	1.0
nu		326	1	1	296.912	1.0
nimmt		326	1	1	296.912	1.0
neunter		326	1	1	296.912	1.0
neun		326	1	1	296.912	1.0
neugierig		326	1	1	296.912	1.0
nennen		326	1	1	296.912	1.0
nasenweis		326	1	1	296.912	1.0
namen		326	1	1	296.912	1.0
nachrichten		326	1	1	296.912	1.0
nachdenken		326	1	1	296.912	1.0
mühe		326	1	1	296.912	1.0
männer		326	1	1	296.912	1.0
munde		326	1	1	296.912	1.0
monsieur		326	1	1	296.912	1.0
miteinander		326	1	1	296.912	1.0
miene		326	1	1	296.912	1.0
meyne		326	1	1	296.912	1.0
meta		326	1	1	296.912	1.0
menschen		326	1	1	296.912	1.0
meinung		326	1	1	296.912	1.0
meines		326	1	1	296.912	1.0
mannsperson		326	1	1	296.912	1.0
mannsbildern		326	1	1	296.912	1.0
mannsbilder		326	1	1	296.912	1.0
mannsbild		326	1	1	296.912	1.0
machte		326	1	1	296.912	1.0
mache		326	1	1	296.912	1.0
läuten		326	1	1	296.912	1.0
lämmel		326	1	1	296.912	1.0
lächerliche		326	1	1	296.912	1.0
lustspiels		326	1	1	296.912	1.0
lustige		326	1	1	296.912	1.0
lobrede		326	1	1	296.912	1.0
liebwertheste		326	1	1	296.912	1.0
lieb		326	1	1	296.912	1.0
letzteren		326	1	1	296.912	1.0
letztemahl		326	1	1	296.912	1.0
lernen		326	1	1	296.912	1.0
leiden		326	1	1	296.912	1.0
leicht		326	1	1	296.912	1.0
ledig		326	1	1	296.912	1.0
lebensart		326	1	1	296.912	1.0
lebe		326	1	1	296.912	1.0
laquey		326	1	1	296.912	1.0
lamm		326	1	1	296.912	1.0
könnten		326	1	1	296.912	1.0
könen		326	1	1	296.912	1.0
kömmst		326	1	1	296.912	1.0
kurze		326	1	1	296.912	1.0
kuchelmensch		326	1	1	296.912	1.0
kränkliche		326	1	1	296.912	1.0
kräfte		326	1	1	296.912	1.0
kroch		326	1	1	296.912	1.0
krank		326	1	1	296.912	1.0
kopfweh		326	1	1	296.912	1.0
knecht		326	1	1	296.912	1.0
klugheit		326	1	1	296.912	1.0
klemm		326	1	1	296.912	1.0
kennst		326	1	1	296.912	1.0
kennet		326	1	1	296.912	1.0
kennen		326	1	1	296.912	1.0
keines		326	1	1	296.912	1.0
keiner		326	1	1	296.912	1.0
kapitel		326	1	1	296.912	1.0
jüngling		326	1	1	296.912	1.0
