type,pos,headword,freq,range
schmuggeln,,,1,1
schnalle,,,1,1
schnauzen,,,1,1
schnitten,,,1,1
schon,,,1,1
schotter,,,1,1
schoß,,,1,1
schranke,,,1,1
schreiben,,,2,1
schreiber,,,1,1
schuhe,,,2,1
schummel,,,1,1
schurkenstunde,,,1,1
schwachherziger,,,1,1
schwan,,,1,1
schwankend,,,1,1
schwarz,,,1,1
schwarze,,,2,1
schwarzen,,,1,1
schwebeteilchen,,,1,1
schweidnitz,,,1,1
schweigt,,,1,1
schwelle,,,1,1
schwer,,,1,1
schwester,,,1,1
schwesterchen,,,2,1
schwesterl,,,1,1
schwestern,,,1,1
schwesterntiere,,,1,1
schwindlig,,,1,1
schwänze,,,2,1
schön,,,1,1
schönes,,,1,1
schönheiten,,,1,1
schüttgut,,,1,1
seel,,,1,1
seemann,,,1,1
sein,,,6,1
seine,,,1,1
seinem,,,3,1
seinen,,,4,1
seiner,,,1,1
sendung,,,1,1
senke,,,1,1
setzen,,,1,1
setzt,,,2,1
shakespeare,,,2,1
shakespeares,,,1,1
shakespeareschen,,,1,1
si,,,2,1
sich,,,20,1
sie,,,10,1
sieg,,,1,1
sieht,,,1,1
sind,,,12,1
singend,,,1,1
singsang,,,1,1
sirenen,,,1,1
sitzt,,,1,1
skala,,,1,1
sl,,,1,1
so,,,9,1
solang,,,1,1
solcherart,,,1,1
soldat,,,2,1
soll,,,4,1
solln,,,1,1
sommer,,,2,1
speidiisen,,,1,1
speidüsen,,,1,1
speit,,,1,1
sperrt,,,1,1
spie,,,1,1
spielend,,,1,1
spitzengewirkter,,,1,1
spouts,,,2,1
sprache,,,4,1
sprachrevier,,,1,1
spreche,,,1,1
sprechen,,,1,1
sprich,,,1,1
spricht,,,5,1
springen,,,1,1
springseil,,,1,1
spross,,,1,1
spur,,,1,1
späne,,,1,1
später,,,1,1
spült,,,1,1
stab,,,1,1
stahlen,,,1,1
stange,,,1,1
stanzten,,,1,1
stapfen,,,1,1
star,,,1,1
statt,,,1,1
staub,,,2,1
steh,,,2,1
stehen,,,2,1
stehende,,,1,1
stehn,,,1,1
steht,,,3,1
steigen,,,1,1
steigt,,,1,1
steinmeier,,,1,1
stellten,,,1,1
stellwerk,,,1,1
stempelkissen,,,1,1
stern,,,1,1
sterne,,,1,1
stich,,,1,1
stiefel,,,1,1
stiftung,,,1,1
stille,,,1,1
stillsteht,,,1,1
stilmittel,,,1,1
stimme,,,2,1
stimmt,,,1,1
stipendium,,,1,1
stirbt,,,1,1
stirn,,,1,1
stoppard,,,1,1
stottertrog,,,1,1
stoß,,,1,1
stoßzeit,,,1,1
strafgericht,,,1,1
straße,,,1,1
streck,,,1,1
strecke,,,1,1
streichel,,,1,1
streng,,,1,1
strengen,,,1,1
streunt,,,1,1
striemen,,,1,1
strom,,,1,1
strophe,,,2,1
stufe,,,2,1
stumm,,,1,1
stummelbeine,,,1,1
stummes,,,1,1
sture,,,1,1
sturen,,,1,1
stärker,,,1,1
stöpsel,,,1,1
stück,,,2,1
stücke,,,1,1
stücken,,,1,1
suchst,,,1,1
swidnica,,,1,1
söhne,,,1,1
t,,,4,1
tacker,,,1,1
tage,,,1,1
tageszeitung,,,1,1
tal,,,3,1
talk,,,2,1
tamora,,,1,1
tand,,,1,1
tapferes,,,1,1
taub,,,2,1
tauben,,,1,1
tausch,,,1,1
teil,,,1,1
ter,,,1,1
tereus,,,2,1
teufe,,,1,1
that,,,2,1
the,,,2,1
thou,,,2,1
three,,,2,1
thus,,,2,1
ti,,,1,1
tiefe,,,1,1
tier,,,2,1
titus,,,10,1
tnocny,,,1,1
tochter,,,1,1
tollkühnem,,,1,1
tom,,,1,1
tornister,,,2,1
tote,,,1,1
tragen,,,2,1
tragt,,,1,1
tragödie,,,3,1
trauern,,,1,1
traum,,,1,1
traumverloren,,,1,1
treffen,,,1,1
treten,,,1,1
treulosen,,,1,1
trockenen,,,1,1
trompeter,,,2,1
tropf,,,1,1
tropfenweise,,,1,1
tropfgebunden,,,1,1
trost,,,1,1
trotz,,,1,1
trotzig,,,1,1
trugen,,,1,1
trägem,,,1,1
trägen,,,1,1
trägst,,,1,1
träumen,,,1,1
träumten,,,1,1
tspiel,,,1,1
täglich,,,1,1
töchter,,,5,1
töchterkörper,,,1,1
tönernen,,,1,1
töpfer,,,1,1
tür,,,2,1
u,,,1,1
uerschiebung,,,2,1
ufer,,,1,1
ufern,,,1,1
uhr,,,1,1
ui,,,1,1
uliana,,,1,1
um,,,6,1
umgefalztes,,,1,1
umher,,,1,1
umliegenden,,,1,1
umreisen,,,1,1
ums,,,1,1
umschlagplatz,,,1,1
umstellt,,,1,1
und,,,58,1
uneins,,,1,1
ungezählt,,,1,1
unlesbarkeit,,,1,1
uns,,,10,1
unser,,,3,1
unsere,,,2,1
unseres,,,2,1
unserm,,,2,1
unsern,,,1,1
unsre,,,3,1
unter,,,4,1
unterholz,,,1,1
unterirdischen,,,1,1
unterscheiden,,,1,1
unth,,,1,1
unverständlich,,,1,1
upon,,,2,1
v,,,5,1
vater,,,19,1
vaters,,,2,1
ver,,,1,1
verbindet,,,1,1
verbissener,,,1,1
verdreh,,,1,1
vergab,,,1,1
vergessen,,,2,1
vergewaltigung,,,1,1
verhandeltem,,,1,1
verliert,,,2,1
verlässlich,,,1,1
vermessen,,,1,1
vermesser,,,1,1
vermesst,,,1,1
verrat,,,1,1
verreck,,,1,1
verrnesser,,,1,1
vers,,,2,1
verschiebung,,,3,1
verschweigen,,,1,1
verschwistert,,,1,1
verschworen,,,1,1
versickert,,,1,1
versteh,,,1,1
verstrickt,,,1,1
verstummung,,,1,1
verständigung,,,1,1
verstümmel,,,1,1
verwandelt,,,1,1
verworrene,,,1,1
verzeichnen,,,1,1
verzeih,,,1,1
verzweigtem,,,1,1
vi,,,3,1
viele,,,1,1
vier,,,2,1
vierzehn,,,1,1
vii,,,2,1
viii,,,2,1
vogel,,,2,1
volant,,,1,1
volle,,,1,1
vom,,,7,1
von,,,19,1
vor,,,2,1
voran,,,1,1
voraus,,,2,1
vorbehalten,,,1,1
vorbild,,,1,1
vorgang,,,1,1
vorhang,,,2,1
vorm,,,1,1
väter,,,8,1
wade,,,1,1
waden,,,1,1
wagen,,,1,1
waggon,,,1,1
wahlzeitung,,,1,1
wahn,,,1,1
walachei,,,1,1
wald,,,9,1
waldrand,,,1,1
war,,,3,1
waren,,,2,1
warmem,,,1,1
warn,,,1,1
warst,,,1,1
warten,,,1,1
was,,,7,1
wasserkunst,,,3,1
wege,,,1,1
wegen,,,1,1
wegjeden,,,1,1
weht,,,1,1
weibliche,,,1,1
weiblichen,,,1,1
weichen,,,1,1
weichenleitung,,,1,1
weichenwärter,,,1,1
weiden,,,1,1
weil,,,1,1
weint,,,1,1
weit,,,3,1
weiß,,,2,1
weiße,,,2,1
weißen,,,2,1
weißt,,,1,1
wellen,,,1,1
welt,,,2,1
wenige,,,1,1
weniger,,,1,1
wenn,,,6,1
wer,,,5,1
werden,,,2,1
werkzeug,,,1,1
wessels,,,1,1
wette,,,1,1
what,,,1,1
when,,,1,1
widerhallende,,,1,1
widerrede,,,1,1
wie,,,21,1
wieder,,,1,1
wiedergegeben,,,1,1
wiederholungstäter,,,1,1
wiederkehr,,,1,1
wiehre,,,1,1
wimpern,,,1,1
wind,,,1,1
windstoß,,,1,1
winken,,,1,1
winter,,,1,1
wir,,,28,1
wird,,,1,1
with,,,1,1
wo,,,1,1
woe,,,1,1
wohin,,,3,1
wohl,,,1,1
wolf,,,1,1
wollen,,,1,1
wollte,,,1,1
woods,,,2,1
worden,,,1,1
wort,,,10,1
wuchern,,,1,1
wurde,,,3,1
wurden,,,1,1
wurzel,,,1,1
wussten,,,1,1
wyborcza,,,2,1
wächter,,,1,1
wälder,,,2,1
wäldern,,,1,1
wände,,,1,1
wär,,,5,1
